,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
81,Camaná,-16.6228,-72.7111,19.64,82,46,3.04,PE,1619230140
82,Bredasdorp,-34.5322,20.0403,7.0,87,94,0.51,ZA,1619229951
83,Bulgan,48.8125,103.5347,-0.9,91,100,2.57,MN,1619230140
84,Shimoda,34.6667,138.95,16.0,63,75,4.63,JP,1619230023
85,Charters Towers,-20.1,146.2667,19.23,86,100,5.23,AU,1619230141
86,East London,-33.0153,27.9116,16.83,75,3,3.17,ZA,1619230061
87,Bereda,43.2686,-7.5406,12.78,100,95,1.34,ES,1619230141
88,Coyhaique,-45.5752,-72.0662,9.0,76,75,3.09,CL,1619230142
89,Bethel,41.3712,-73.414,12.0,53,1,2.57,US,1619230142
90,Anadyr,64.75,177.4833,-4.0,80,0,2.0,RU,1619230143
91,Oriximiná,-1.7656,-55.8661,24.27,90,91,1.2,BR,1619230143
92,Neustadt an der Waldnaab,49.7117,12.0872,0.56,100,1,1.39,DE,1619230143
93,Tondano,1.3038,124.9112,32.0,62,20,1.53,ID,1619230144
94,Nikolskoye,59.7035,30.7861,2.22,93,75,2.0,RU,1619230144
95,Cidreira,-30.1811,-50.2056,21.2,81,1,7.42,BR,1619230144
96,Kroya,-7.6331,109.2461,28.19,66,0,0.75,ID,1619230145
97,Aksu,41.1231,80.2644,11.09,47,1,5.03,CN,1619230145
98,Puerto Ayora,-0.7393,-90.3518,25.0,95,16,2.68,EC,1619230146
99,Tecolutla,20.4833,-97.0167,25.11,90,100,6.82,MX,1619230146
100,Longyearbyen,78.2186,15.6401,-8.0,67,90,1.54,SJ,1619230147
101,Leshukonskoye,64.8989,45.7622,6.6,86,85,3.83,RU,1619230147
102,Lubango,-14.9172,13.4925,16.91,63,99,1.59,AO,1619230147
103,Hilo,19.7297,-155.09,25.0,61,90,5.14,US,1619230134
104,Kolvereid,64.8655,11.6047,1.97,67,100,7.04,NO,1619230148
105,Ahipara,-35.1667,173.1667,19.11,63,21,4.21,NZ,1619230148
106,Thompson,55.7435,-97.8558,-4.0,39,20,5.14,CA,1619229863
107,Bambanglipuro,-7.95,110.2833,28.0,67,0,1.68,ID,1619230149
108,Pisco,-13.7,-76.2167,19.44,82,0,1.54,PE,1619230037
109,Hithadhoo,-0.6,73.0833,28.03,70,17,2.28,MV,1619229945
110,Santa Cruz de La Palma,28.6835,-17.7642,19.0,63,40,3.09,ES,1619230150
111,Saint-Paul,-21.0096,55.2707,24.0,73,75,4.63,RE,1619230150
112,Ust-Nera,64.5667,143.2,-7.72,74,100,2.15,RU,1619230151
113,Vila do Maio,15.1333,-23.2167,20.0,77,20,6.17,CV,1619230151
114,Ust'-Barguzin,53.45,108.9833,2.79,59,100,2.88,RU,1619230151
115,Saint Paul Harbor,57.79,-152.4072,5.0,81,90,4.12,US,1619229975
116,Namwala,-15.7504,26.4384,14.33,83,0,1.7,ZM,1619230152
117,Camacha,33.0833,-16.3333,17.0,72,40,7.72,PT,1619229970
118,Qaanaaq,77.484,-69.3632,-7.89,81,100,2.27,GL,1619230116
119,Chapleau,47.8405,-83.4034,11.0,32,75,1.54,CA,1619230153
120,Wucheng,29.6008,118.175,23.31,66,100,2.15,CN,1619230153
121,Rocha,-34.4833,-54.3333,16.73,96,69,3.63,UY,1619230154
122,Kushiro,42.975,144.3747,9.0,66,75,4.12,JP,1619230154
123,Hofn,64.2539,-15.2082,7.03,78,100,2.24,IS,1619230154
124,Maltahöhe,-24.8333,16.9833,17.04,31,5,3.31,NA,1619230155
125,Saskylakh,71.9167,114.0833,0.87,97,100,9.13,RU,1619229863
126,Saint George,37.1041,-113.5841,25.0,10,1,5.14,US,1619230134
127,Airai,-8.9266,125.4092,23.43,48,5,1.4,TL,1619230155
128,Hanover,52.3705,9.7332,3.89,87,75,1.03,DE,1619230156
129,Vilyuysk,63.7553,121.6247,-1.86,85,91,2.17,RU,1619230156
130,Skibbereen,51.55,-9.2667,9.0,61,40,6.17,IE,1619230157
131,Kruisfontein,-34.0033,24.7314,15.0,93,93,0.89,ZA,1619229958
132,Presidencia Roque Sáenz Peña,-26.7852,-60.4388,20.57,87,100,2.15,AR,1619230157
133,Concordia,-31.393,-58.0209,18.46,94,100,1.33,AR,1619230104
134,Hobart,-42.8794,147.3294,16.0,48,75,7.2,AU,1619230061
135,Jamestown,42.097,-79.2353,7.0,49,75,5.66,US,1619230106
136,Kasiri,8.9412,-13.1148,26.45,77,100,2.65,SL,1619230158
137,Codrington,-38.2667,141.9667,15.92,70,90,5.96,AU,1619230159
138,Aden,12.7794,45.0367,27.18,82,2,8.05,YE,1619229967
139,Borgarnes,64.5383,-21.9206,7.22,85,100,2.68,IS,1619230159
140,Iskateley,67.6803,53.1512,0.01,87,62,0.77,RU,1619230160
141,Caravelas,-17.7125,-39.2481,22.99,86,0,2.04,BR,1619230111
142,Dongsheng,39.8161,109.9776,14.57,39,100,4.71,CN,1619230161
143,Yantal',56.8471,105.2542,3.25,67,100,2.27,RU,1619230161
144,Freetown,8.484,-13.2299,26.26,78,99,2.9,SL,1619230161
145,Oistins,13.0667,-59.5333,26.0,65,20,7.72,BB,1619230162
146,Marzuq,14.4,46.4667,19.54,53,1,2.69,YE,1619230162
147,Oranjestad,12.524,-70.027,27.0,78,20,9.77,AW,1619229896
148,Sambava,-14.2667,50.1667,22.52,86,100,3.7,MG,1619230163
149,Houma,29.5958,-90.7195,22.22,88,90,5.14,US,1619230123
150,Sørland,67.667,12.6934,2.52,54,98,9.59,NO,1619230163
151,Laas,46.6166,10.7002,7.78,70,0,1.54,IT,1619230164
152,Boguchany,58.3814,97.4531,4.58,70,76,2.23,RU,1619230164
153,Port Blair,11.6667,92.75,29.19,58,100,1.59,IN,1619230122
154,Zhangaözen,43.3,52.8,10.32,76,0,3.02,KZ,1619230165
155,Liverpool,53.4106,-2.9779,8.89,57,100,3.09,GB,1619230004
156,Karratha,-20.7377,116.8463,30.2,19,0,7.72,AU,1619229981
157,‘Ewa Beach,21.3156,-158.0072,28.0,51,75,5.14,US,1619230165
158,Santiago,-33.4569,-70.6483,14.0,72,90,1.54,CL,1619229627
159,Sakakah,29.9697,40.2064,24.0,13,0,4.63,SA,1619230166
160,Flin Flon,54.7682,-101.865,-4.77,55,55,1.96,CA,1619230166
161,Lavrentiya,65.5833,-171.0,0.75,82,2,1.7,RU,1619230167
162,Bengkulu,-3.8004,102.2655,26.79,73,100,0.96,ID,1619230025
163,Cookeville,36.1628,-85.5016,11.0,66,95,2.06,US,1619230167
164,Kiryat Gat,31.61,34.7642,18.89,100,52,0.7,IL,1619229984
165,Geraldton,-28.7667,114.6,24.0,43,0,3.09,AU,1619229968
166,Strezhevoy,60.7333,77.5889,3.0,52,40,3.0,RU,1619230168
167,Puerto Madryn,-42.7692,-65.0385,12.95,61,0,6.64,AR,1619230031
168,Spassk-Ryazanskiy,54.4072,40.3806,7.78,100,92,4.29,RU,1619230169
169,Poddor'ye,57.4695,31.1156,-1.33,97,10,2.43,RU,1619230169
170,Khatanga,71.9667,102.5,0.7,96,100,8.78,RU,1619230169
171,Ponta do Sol,32.6667,-17.1,15.56,80,21,1.34,PT,1619230170
172,Goderich,43.7501,-81.7165,9.0,57,99,4.12,CA,1619230170
